timestamp,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2024-01-01,0.0,,0.0,0.0,
2024-01-02,0.0,,0.0,0.0,
2024-01-03,0.0,,0.0,0.0,
2024-01-04,0.0,,0.0,0.0,
2024-01-05,0.0,,0.0,0.0,
2024-01-06,0.0,,0.0,0.0,
2024-01-07,0.0,,0.0,0.0,
2024-01-08,0.0,,0.0,0.0,
2024-01-09,0.0,,0.0,0.0,
2024-01-10,0.0,,0.0,0.0,
2024-01-11,-1.0,time,5.0,-0.011079626610951703,0.04417456574134984
2024-01-12,1.0,time,5.0,0.0015159824231210726,0.04524978865398957
2024-01-13,-1.0,time,5.0,-0.043070157550519614,0.0420750717523372
2024-01-14,1.0,time,5.0,0.004702518549941799,0.0428565321509101
2024-01-15,-1.0,time,5.0,-0.01807662378032915,0.040122213718491694
2024-01-16,-1.0,time,5.0,-0.05336698265654412,0.03833897699721921
2024-01-17,-1.0,lower,5.0,-0.09135531585542034,0.03754540772246092
2024-01-18,-1.0,lower,5.0,-0.09579503183666145,0.036546996961895985
2024-01-19,-1.0,lower,3.0,-0.07592639850415667,0.03444542808629505
2024-01-20,-1.0,lower,2.0,-0.0681197183734691,0.032585557565594996
2024-01-21,-1.0,lower,1.0,-0.0618864108121596,0.030798428255997823
2024-01-22,-1.0,time,5.0,-0.017344987346083914,0.03526088716582952
2024-01-23,1.0,time,5.0,0.006717088418799355,0.03405211326802817
2024-01-24,1.0,time,5.0,0.034213117358325947,0.03224442536995226
2024-01-25,1.0,time,5.0,0.05452736693903268,0.03049093754851433
2024-01-26,1.0,time,5.0,0.005985042122136449,0.030359717118696075
2024-01-27,1.0,time,5.0,0.01480665611745691,0.028777698272642833
2024-01-28,1.0,time,5.0,0.022075700182546978,0.02725761280451546
2024-01-29,-1.0,time,5.0,-0.008621734309501321,0.027431984136684573
2024-01-30,-1.0,time,5.0,-0.02327212026099671,0.026372261355020618
2024-01-31,1.0,time,5.0,0.0070637424918588,0.02631159433508425
2024-02-01,1.0,time,5.0,0.030388475882694565,0.025194662870509445
2024-02-02,1.0,upper,5.0,0.04931359460449183,0.023939147412618034
2024-02-03,1.0,upper,4.0,0.05483711396582577,0.022757674472808725
2024-02-04,1.0,upper,3.0,0.0568611942241292,0.021603587217454614
2024-02-05,1.0,upper,2.0,0.05311725086965858,0.020579437881079746
2024-02-06,1.0,upper,3.0,0.047365049131785665,0.021973065257885706
2024-02-07,1.0,upper,5.0,0.09212225237883916,0.02168742247695339
2024-02-08,1.0,upper,4.0,0.09340191175132247,0.020662621337950028
2024-02-09,1.0,upper,3.0,0.06615131438635052,0.020925583445449362
2024-02-10,1.0,upper,2.0,0.06148348699341317,0.01988531589540656
2024-02-11,1.0,upper,1.0,0.059249527902112374,0.018924496712282343
2024-02-12,1.0,upper,3.0,0.06158220689076091,0.02431758306773659
2024-02-13,1.0,upper,1.0,0.05122193195276271,0.023662627662656355
2024-02-14,1.0,upper,5.0,0.057090075276290626,0.02588929891318525
2024-02-15,1.0,upper,5.0,0.06459335156564243,0.024633428400466107
2024-02-16,1.0,upper,4.0,0.07149765449617533,0.024205314139387837
2024-02-17,1.0,upper,2.0,0.05414875408727971,0.023654905287552562
2024-02-18,1.0,upper,2.0,0.04771047371940595,0.02335769599166876
2024-02-19,1.0,time,5.0,0.015037268935301105,0.02250168055796419
2024-02-20,1.0,time,5.0,0.03197283202396928,0.021664349685842556
2024-02-21,1.0,upper,4.0,0.044775634173907425,0.02212062134969186
2024-02-22,1.0,upper,3.0,0.04576702928233767,0.021360457632087763
2024-02-23,1.0,upper,2.0,0.06198317943548889,0.02181560586216751
2024-02-24,1.0,upper,2.0,0.06016468657728815,0.02113330313413636
2024-02-25,1.0,upper,3.0,0.08239377934254476,0.022310928940276805
2024-02-26,1.0,upper,2.0,0.06323632471920708,0.02132790763694147
2024-02-27,1.0,upper,1.0,0.04190652210644249,0.020450991629827713
2024-02-28,1.0,upper,5.0,0.07230690390456289,0.021254726934855694
2024-02-29,1.0,upper,4.0,0.08214871603654046,0.021686215530930492
2024-03-01,1.0,upper,3.0,0.057348936634586234,0.020893899784155463
2024-03-02,1.0,upper,2.0,0.06022624177535309,0.02057164789877717
2024-03-03,1.0,upper,1.0,0.04132301747647447,0.019643640780516537
2024-03-04,1.0,upper,2.0,0.05045137730222645,0.020461519185635088
2024-03-05,1.0,upper,1.0,0.06508056567054492,0.02157650771891539
2024-03-06,1.0,upper,5.0,0.06291975965019724,0.02577535962259438
2024-03-07,1.0,upper,4.0,0.05263111838508025,0.024633049235124806
2024-03-08,1.0,time,5.0,0.028933160589575967,0.023597189736118424
2024-03-09,-1.0,time,5.0,-0.009493238779964342,0.022681931773869117
2024-03-10,1.0,upper,1.0,0.046031848302866336,0.022650633339084975
2024-03-11,-1.0,lower,3.0,-0.048202708395913126,0.02368162606629351
2024-03-12,-1.0,lower,3.0,-0.06230025687989256,0.02545391026461062
2024-03-13,-1.0,lower,2.0,-0.06961754593315785,0.02426589997930931
2024-03-14,-1.0,lower,2.0,-0.09877010581954851,0.026755892072528025
2024-03-15,-1.0,lower,1.0,-0.06183476798628622,0.02881973952255895
2024-03-16,-1.0,lower,3.0,-0.10267914934655034,0.03377817524593267
2024-03-17,-1.0,lower,2.0,-0.13874592962923038,0.03417097684692589
2024-03-18,-1.0,lower,1.0,-0.10599444149082174,0.034066038651876324
2024-03-19,1.0,upper,1.0,0.1030973623880903,0.045046778625153966
2024-03-20,1.0,time,5.0,0.02049569364171575,0.05511834021510288
2024-03-21,1.0,time,5.0,0.027699802597867328,0.05245139038891271
2024-03-22,1.0,time,5.0,0.05341839978535614,0.05198551265352651
2024-03-23,1.0,time,5.0,0.05986776556763134,0.04966153453534827
2024-03-24,1.0,time,5.0,0.01774416889428424,0.04835682703435194
2024-03-25,-1.0,time,5.0,-0.022782352714364844,0.0475143003198141
2024-03-26,1.0,time,5.0,0.014709399137026891,0.04519677865546693
2024-03-27,1.0,time,5.0,0.0008640516573146626,0.0437260904592847
2024-03-28,-1.0,time,5.0,-0.08354624163508546,0.04186676605364492
2024-03-29,-1.0,time,5.0,-0.05838813823436162,0.04003490321478906
2024-03-30,-1.0,time,5.0,-0.05134941374593787,0.038086692408326246
2024-03-31,-1.0,lower,2.0,-0.1070059290626624,0.03805475380769907
2024-04-01,-1.0,time,5.0,-0.04233148259131631,0.03829651765365062
2024-04-02,1.0,time,5.0,0.053083501447202454,0.04182242160962566
2024-04-03,1.0,upper,5.0,0.10808122233472103,0.0402246153149861
2024-04-04,1.0,upper,4.0,0.10344577018540177,0.03837608072317578
2024-04-05,1.0,upper,3.0,0.10699638820793407,0.03650344353318404
2024-04-06,1.0,upper,2.0,0.094259649871743,0.03509486127051683
2024-04-07,-1.0,time,5.0,-0.06210141422570376,0.034519553810261006
2024-04-08,-1.0,lower,4.0,-0.1297760834381485,0.038617679868028686
2024-04-09,-1.0,lower,4.0,-0.14788310932855686,0.04091688519079661
2024-04-10,-1.0,lower,2.0,-0.08678950674583334,0.039021253648033626
2024-04-11,-1.0,lower,1.0,-0.07794197572600076,0.03725476305153618
2024-04-12,-1.0,time,5.0,-0.08446731260841517,0.04263702998647772
2024-04-13,1.0,time,5.0,0.014096032260468728,0.044985580405018766
2024-04-14,-1.0,time,5.0,-0.02956817625624373,0.04608082273080317
2024-04-15,1.0,time,5.0,0.0163115405675002,0.04394743785227382
2024-04-16,1.0,time,5.0,0.02036068634840142,0.04181090106737604
2024-04-17,1.0,time,5.0,0.07027682333957834,0.04048380295648304
2024-04-18,1.0,time,5.0,0.04904322743636588,0.0401562234502384
2024-04-19,1.0,time,5.0,0.023574342709723327,0.03825841707553093
2024-04-20,1.0,time,5.0,0.0017211299042079436,0.03781496205525876
2024-04-21,-1.0,time,5.0,-0.005007528111120558,0.03597182163167712
2024-04-22,1.0,time,5.0,0.018418175338201868,0.034716334865951826
2024-04-23,1.0,time,5.0,0.01251237677370644,0.033089800015044635
2024-04-24,1.0,time,5.0,0.023576062448348235,0.032350853657222116
2024-04-25,-1.0,time,5.0,-0.045041995634986204,0.03088382171566022
2024-04-26,-1.0,time,5.0,-0.05087621734542663,0.029439744339417425
2024-04-27,-1.0,lower,3.0,-0.07672052392479664,0.03079468926644622
2024-04-28,-1.0,lower,2.0,-0.07679722574650247,0.029294805291016017
2024-04-29,-1.0,lower,1.0,-0.06264322600942887,0.028255049600240778
2024-04-30,1.0,time,5.0,0.038356450730844725,0.03281994603253947
2024-05-01,1.0,time,5.0,0.02930343363897406,0.03131344603771474
2024-05-02,1.0,time,5.0,0.008864576820840063,0.029968838950172275
2024-05-03,-1.0,time,5.0,-0.041606032436099095,0.031320483653396534
2024-05-04,-1.0,time,5.0,-0.024924259119033027,0.029843148823221567
2024-05-05,-1.0,lower,5.0,-0.07474630350566512,0.02848903191923542
2024-05-06,-1.0,time,5.0,-0.05211128781344556,0.027959505731004967
2024-05-07,-1.0,time,5.0,-0.028203474678339863,0.026914156798226778
2024-05-08,-1.0,time,5.0,-0.009260653991329868,0.025753931378837
