timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,signal,label,barrier_touched,return_at_barrier,bitcoin_log_return_1,bitcoin_close_topo_num_holes_0_original,bitcoin_close_topo_betti_0_original,bitcoin_close_topo_max_hole_lifetime_0_original,bitcoin_close_topo_avg_hole_lifetime_0_original,bitcoin_close_topo_l1_norm_0_original,bitcoin_close_topo_l2_norm_0_original,bitcoin_close_topo_sum_hole_lifetimes_0_original,bitcoin_close_topo_persistence_entropy_0_original,bitcoin_close_topo_std_persistence_0_original,bitcoin_close_topo_wasserstein_0_original,bitcoin_close_topo_num_holes_1_original,bitcoin_close_topo_betti_1_original,bitcoin_close_topo_max_hole_lifetime_1_original,bitcoin_close_topo_avg_hole_lifetime_1_original,bitcoin_close_topo_l1_norm_1_original,bitcoin_close_topo_l2_norm_1_original,bitcoin_close_topo_sum_hole_lifetimes_1_original,bitcoin_close_topo_persistence_entropy_1_original,bitcoin_close_topo_std_persistence_1_original,bitcoin_close_topo_wasserstein_1_original,bitcoin_close_topo_num_holes_2_original,bitcoin_close_topo_betti_2_original,bitcoin_close_topo_max_hole_lifetime_2_original,bitcoin_close_topo_avg_hole_lifetime_2_original,bitcoin_close_topo_l1_norm_2_original,bitcoin_close_topo_l2_norm_2_original,bitcoin_close_topo_sum_hole_lifetimes_2_original,bitcoin_close_topo_persistence_entropy_2_original,bitcoin_close_topo_std_persistence_2_original,bitcoin_close_topo_wasserstein_2_original,strategy_returns,position_change,transaction_cost,strategy_returns_gross,bitcoin_close_topo_num_holes_0_topo,bitcoin_close_topo_betti_0_topo,bitcoin_close_topo_max_hole_lifetime_0_topo,bitcoin_close_topo_avg_hole_lifetime_0_topo,bitcoin_close_topo_l1_norm_0_topo,bitcoin_close_topo_l2_norm_0_topo,bitcoin_close_topo_sum_hole_lifetimes_0_topo,bitcoin_close_topo_persistence_entropy_0_topo,bitcoin_close_topo_std_persistence_0_topo,bitcoin_close_topo_wasserstein_0_topo,bitcoin_close_topo_num_holes_1_topo,bitcoin_close_topo_betti_1_topo,bitcoin_close_topo_max_hole_lifetime_1_topo,bitcoin_close_topo_avg_hole_lifetime_1_topo,bitcoin_close_topo_l1_norm_1_topo,bitcoin_close_topo_l2_norm_1_topo,bitcoin_close_topo_sum_hole_lifetimes_1_topo,bitcoin_close_topo_persistence_entropy_1_topo,bitcoin_close_topo_std_persistence_1_topo,bitcoin_close_topo_wasserstein_1_topo,bitcoin_close_topo_num_holes_2_topo,bitcoin_close_topo_betti_2_topo,bitcoin_close_topo_max_hole_lifetime_2_topo,bitcoin_close_topo_avg_hole_lifetime_2_topo,bitcoin_close_topo_l1_norm_2_topo,bitcoin_close_topo_l2_norm_2_topo,bitcoin_close_topo_sum_hole_lifetimes_2_topo,bitcoin_close_topo_persistence_entropy_2_topo,bitcoin_close_topo_std_persistence_2_topo,bitcoin_close_topo_wasserstein_2_topo,primary_signal
2022-08-19,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-08-20,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-08-21,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-08-22,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-08-23,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-08-24,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-08-25,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-08-26,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-08-27,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-08-28,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-08-29,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-08-30,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-08-31,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-01,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-02,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-03,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-04,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-05,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-06,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-07,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-08,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-09,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-10,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-11,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-12,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-13,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-14,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-15,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-16,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-17,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-18,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-19,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-20,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-21,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-22,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-23,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-24,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-25,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
